Posture Duration (s),Rear Left Paw Posed Duration (s),Rear Right Paw Posed Duration (s),Rear Paws Posed Duration (s),Rear Together Paws Posed Duration (s),Rearing Duration (s),Front Left Paw Posed Duration (s),Front Right Paw Posed Duration (s),Front Paws Posed Duration (s),Front Together Paws Posed Duration (s),Other Paw Posed Duration (s),Posture Duration (s).1,Rear Left Paw Weight (g),Rear Right Paw Weight (g),Rear Paws Weight (g),Rear Together Paws Weight (g),Rearing Weight (g),Front Left Paw Weight (g),Front Right Paw Weight (g),Front Paws Weight (g),Front Together Paws Weight (g),Other Paw Weight (g),Front/Rear Weight Ratio,Left/Right Weight Ratio,Rear Left/Rear Right Weight Ratio,Posture Duration (s).2,Rear Left Paw Area (mm¬?),Rear Right Paw Area (mm¬?),Rear Paws Area (mm¬?),Rear Together Paws Area (mm¬?),Rearing Area (mm¬?),Front Left Paw Area (mm¬?),Front Right Paw Area (mm¬?),Front Paws Area (mm¬?),Front Together Paws Area (mm¬?),Other Paw Area (mm¬?),Front/Rear Area Ratio,Left/Right Area Ratio,Rear Left/Rear Right Area Ratio,Timepoint,Mouse_number,Day_timepoint,Front Left Paw Weight (%),Front Right Paw Weight (%),Front Paws Weight (%),Front Together Paws Weight (%),Rear Left Paw Weight (%),Rear Right Paw Weight (%),Rear Paws Weight (%),Rear Together Paws Weight (%),Rearing Weight (%),Other Paw Weight (%),Sample_group,Sample_name
67.036,66.446,66.446,67.036,67.036,11.759,48.395,52.949,55.277,47.02,0,67.036,12.12,8.83,20.95,20.95,22.26,3.67,4.59,10.02,10.37,0,0.48,1.18,1.37,67.036,16.45,14.05,30.5,30.5,29.62,6.2,7.05,16.07,16.69,0,0.53,1.07,1.17,4,171,49,,,,,,,,,,,97497,171
64.481,64.097,64.097,64.481,64.481,39.552,22.032,20.493,24.929,17.921,0,64.481,17.51,14.31,31.81,31.81,36.52,3.54,1.76,13.68,15.24,0,0.43,1.31,1.22,64.481,19.3,18.76,38.06,38.06,40.61,3.33,2.73,15.64,17.05,0,0.41,1.05,1.03,5,171,63,,,,,,,,,,,97497,171
47.731,47.453,47.453,47.731,47.731,22.146,21.471,20.523,25.585,16.752,0,47.731,13.65,14.19,27.84,27.84,31.66,2.39,3.96,11.84,13.51,0,0.43,0.88,0.96,47.731,20.06,17.53,37.59,37.59,40.07,4.16,5.24,17.54,18.7,0,0.47,1.06,1.14,6,171,77,,,,,,,,,,,97497,171
61.218,60.754,60.754,61.218,61.218,1.903,58.873,58.015,59.315,58.451,6.006,61.218,11.49,12.16,23.64,23.64,35.66,5.3,6.79,12.48,12.6,0.3,0.53,0.89,0.94,61.218,14.86,14.56,29.42,29.42,37.48,9.6,9.66,19.88,20.08,0.55,0.68,1.01,1.02,7,171,91,,,,,,,,,,,97497,171
46.924,46.587,46.587,46.924,46.924,20.464,17.676,24.708,26.46,16.206,20.229,46.924,11.92,13.63,25.56,25.56,31.44,2.93,4.59,13.35,14.82,3,0.52,0.82,0.87,46.924,15.64,14.99,30.63,30.63,40.23,3.64,6.98,18.84,20.38,5.16,0.62,0.88,1.04,8,171,98,,,,,,,,,,,97497,171
40.802,40.628,40.628,40.802,40.802,26.766,11.851,7.149,14.036,5.073,0,40.802,15.05,22.31,37.36,37.36,41.12,3.23,1.96,15.11,21.25,0,0.4,0.75,0.67,40.802,18.25,24.25,42.5,42.5,47.06,4.66,2.32,20.3,28.51,0,0.48,0.86,0.75,1,185,0,,,,,,,,,,,87786,185
47.309,47.09,47.09,47.309,47.309,40.669,5.605,5.536,6.64,4.545,0,47.309,19.27,19.22,38.49,38.49,40.38,1.04,0.86,13.52,15.1,0,0.35,1.01,1,47.309,21.34,19.85,41.19,41.19,42.62,1.24,1.4,18.83,20.27,0,0.46,1.06,1.08,2,185,22,,,,,,,,,,,87786,185
68.864,68.318,67.46,68.864,68.001,49.154,18.054,13.53,19.71,12.128,0,68.864,18.7,23.27,41.97,42.38,46.2,,,,,0,0.29,0.86,0.8,68.864,15.17,19.35,34.52,34.84,35.01,2.84,1.73,15.96,17.76,0,0.46,0.85,0.78,3,185,36,,,,,,,,,,,87786,185
53.257,52.93,52.93,53.257,53.257,27.211,18.891,15.827,26.046,8.848,23.478,53.257,17.37,19.09,36.46,36.46,40.4,3.59,3.09,13.65,16.47,4.03,0.37,0.95,0.91,53.257,14.21,15.17,29.38,29.38,28,5.39,4.01,19.22,26.47,9.58,0.65,1.02,0.94,4,185,49,,,,,,,,,,,87786,185
72.305,71.735,71.735,72.305,72.305,30.047,33.79,16.566,42.258,8.512,0,72.305,13.14,21.2,34.34,34.34,40.74,,,,,0,0.47,0.83,0.62,72.305,16.6,19.06,35.67,35.67,38.01,6.87,3.24,17.3,22.35,0,0.48,1.05,0.87,5,185,64,,,,,,,,,,,87786,185
68.848,68.38,68.38,68.848,68.848,38.974,25.056,25.221,29.874,20.787,0,68.848,,,,,,,,,,,,,,68.848,19.17,23.28,42.45,42.45,41.75,4.58,4.01,19.79,22.17,0,0.47,0.87,0.82,6,185,82,7.75,6.86,33.67,36.15,,,,,,,87786,185
38.385,38.223,38.223,38.385,38.385,14.322,17.184,19.783,24.063,13.136,8.12,38.385,17.64,22.12,39.76,39.76,45.94,,,,,0.79,0.28,0.79,0.8,38.385,17.22,21.07,38.3,38.3,40.52,4.35,6.62,17.5,22.13,2.28,0.46,0.78,0.82,7,185,92,,,,,,,,,,,87786,185
