Posture Duration (s),Rear Left Paw Posed Duration (s),Rear Right Paw Posed Duration (s),Rear Paws Posed Duration (s),Rear Together Paws Posed Duration (s),Rearing Duration (s),Front Left Paw Posed Duration (s),Front Right Paw Posed Duration (s),Front Paws Posed Duration (s),Front Together Paws Posed Duration (s),Other Paw Posed Duration (s),Posture Duration (s).1,Rear Left Paw Weight (g),Rear Right Paw Weight (g),Rear Paws Weight (g),Rear Together Paws Weight (g),Rearing Weight (g),Front Left Paw Weight (g),Front Right Paw Weight (g),Front Paws Weight (g),Front Together Paws Weight (g),Other Paw Weight (g),Front/Rear Weight Ratio,Left/Right Weight Ratio,Rear Left/Rear Right Weight Ratio,Posture Duration (s).2,Rear Left Paw Area (mm¬?),Rear Right Paw Area (mm¬?),Rear Paws Area (mm¬?),Rear Together Paws Area (mm¬?),Rearing Area (mm¬?),Front Left Paw Area (mm¬?),Front Right Paw Area (mm¬?),Front Paws Area (mm¬?),Front Together Paws Area (mm¬?),Other Paw Area (mm¬?),Front/Rear Area Ratio,Left/Right Area Ratio,Rear Left/Rear Right Area Ratio,Timepoint,Mouse_number,Day_timepoint,Front Left Paw Weight (%),Front Right Paw Weight (%),Front Paws Weight (%),Front Together Paws Weight (%),Rear Left Paw Weight (%),Rear Right Paw Weight (%),Rear Paws Weight (%),Rear Together Paws Weight (%),Rearing Weight (%),Other Paw Weight (%),Sample_group,Sample_name
63.485,62.91,62.91,63.485,63.485,61.757,1.746,1.746,1.728,1.728,0,63.485,14.37,18.08,32.46,32.46,32.68,0.24,0.13,13.51,13.51,0,0.42,0.8,0.79,63.485,20.78,19.61,40.39,40.39,40.72,0.29,0.2,17.97,17.97,0,0.44,1.06,1.06,2,93,21,,,,,,,,,,,107455,93
52.765,52.357,52.357,52.765,52.765,38.446,13.167,11.385,14.319,10.463,10.362,52.765,12.49,12.33,24.82,24.82,27.87,1.86,1.3,11.65,12.64,1.56,0.47,1.05,1.01,52.765,18.7,19.5,38.2,38.2,41.9,4.23,1.85,22.41,26.23,2.26,0.59,1.07,0.96,3,93,35,,,,,,,,,,,107455,93
73.118,65.351,72.674,73.118,65.774,44.687,23.13,24.153,28.431,19.215,0,73.118,10.18,10.82,21,22.36,26.33,2.12,1.67,9.74,10.27,0,0.46,0.98,1.02,73.118,11.91,13.05,24.96,26.77,28.98,3.97,2.72,17.19,19.28,0,0.69,1.01,0.98,4,93,49,,,,,,,,,,,107455,93
54.752,53.626,52.867,54.752,52.384,40.352,13.298,11.945,14.4,10.976,8.877,54.752,13.42,16.86,30.28,31.1,34.97,1.77,1.12,10.98,11.74,0.97,0.36,0.85,0.79,54.752,25.29,15.19,40.48,41.91,46.55,3.12,2.26,20.41,22.97,2.6,0.5,1.63,1.65,5,93,63,,,,,,,,,,,107455,93
52.32,51.961,51.961,52.32,52.32,17.775,32.355,28.065,34.545,26.323,0,52.32,10.63,11.02,21.65,21.65,27.84,3.19,2.58,8.73,9.59,0,0.4,1.02,0.97,52.32,16.97,14.62,31.59,31.59,36.93,5.68,3.95,14.56,16.78,0,0.46,1.22,1.16,6,93,77,,,,,,,,,,,107455,93
47.714,47.322,47.322,47.714,47.714,9.616,23.196,37.778,38.098,23.377,0,47.714,12.35,10.83,23.19,23.19,25.48,1.92,2.84,5.96,7.98,0,0.26,1.04,1.14,47.714,13.83,14.25,28.08,28.08,29.89,4.36,6.59,13.71,17.45,0,0.49,0.87,0.97,7,93,91,,,,,,,,,,,107455,93
48.402,48.014,48.014,48.402,48.402,43.041,5.313,5.313,5.361,5.361,0,48.402,11.26,11.07,22.33,22.33,23.39,0.46,0.78,11.17,11.17,0,0.5,0.99,1.02,48.402,15.65,14.59,30.23,30.23,31.51,0.49,1.78,20.51,20.51,0,0.68,0.99,1.07,1,94,0,,,,,,,,,,,107455,94
54.337,54.008,54.008,54.337,54.337,31.873,8.834,20.252,22.464,6.77,5.28,54.337,12.98,12.32,25.3,25.3,28.25,0.77,2.49,7.9,9.3,0.4,0.31,0.93,1.05,54.337,15.16,16.02,31.19,31.19,33.95,1.52,3.85,12.99,18.83,0.89,0.42,0.84,0.95,2,94,21,,,,,,,,,,,107455,94
52.792,52.533,52.533,52.792,52.792,48.392,2.803,3.496,4.4,1.904,0,52.792,13.18,13.24,26.42,26.42,26.95,0.31,0.4,8.54,11.03,0,0.32,0.99,1,52.792,14.09,18.6,32.69,32.69,33.23,0.61,0.65,15.07,20.09,0,0.46,0.76,0.76,3,94,35,,,,,,,,,,,107455,94
46.768,46.427,46.427,46.768,46.768,40.975,5.742,4.587,5.793,4.625,0,46.768,16.38,11.81,28.19,28.19,30.45,0.94,0.33,10.27,10,0,0.36,1.43,1.39,46.768,14.09,16.56,30.65,30.65,32.55,1.68,0.74,19.51,19.31,0,0.64,0.91,0.85,4,94,49,,,,,,,,,,,107455,94
47.471,47.156,47.156,47.471,47.471,29.041,17.451,14.704,18.43,13.949,0,47.471,12.83,12.16,24.99,24.99,29.19,2.49,1.72,10.84,12.27,0,0.43,1.1,1.05,47.471,15.62,15.62,31.23,31.23,33.91,4.17,3.07,18.65,20.72,0,0.6,1.06,1,5,94,63,,,,,,,,,,,107455,94
105.139,104.195,104.195,105.139,105.139,99.125,6.001,4.516,6.014,4.526,0,105.139,13.69,14.3,27.98,27.98,28.49,0.46,0.23,11.99,11.85,0,0.43,0.97,0.96,105.139,16.37,17.19,33.56,33.56,34.19,0.64,0.4,18.14,20.13,0,0.54,0.97,0.95,6,94,77,,,,,,,,,,,107455,94
48.691,48.375,48.375,48.691,48.691,38.641,10.008,7.863,10.05,7.89,0,48.691,12.29,13.27,25.56,25.56,27.84,1.02,0.8,8.82,10.15,0,0.35,0.95,0.93,48.691,16.76,17.55,34.31,34.31,37.2,1.82,1.24,14.79,15.86,0,0.43,0.99,0.95,7,94,91,,,,,,,,,,,107455,94
45.955,45.799,45.799,45.955,45.955,34.289,9.294,9.657,11.666,7.392,4.95,45.955,15.58,16.3,31.88,31.88,33.84,1.54,1.84,13.24,15.79,0.39,0.42,0.94,0.96,45.955,22.99,21.88,44.86,44.86,46.05,2.57,2.78,21,24.75,1.24,0.47,1.04,1.05,1,151,0,,,,,,,,,,,97479,151
46.161,46.003,46.003,46.161,46.161,16.094,23.23,26.499,30.067,19.89,12.17,46.161,17.14,17.08,34.22,34.22,42.24,3.77,4.78,13.11,15.22,3.48,0.38,0.96,1,46.161,21.36,28.34,49.7,49.7,54.38,5.84,7.59,20.59,23.7,10.94,0.41,0.76,0.75,2,151,20,,,,,,,,,,,97479,151
45.89,45.528,45.528,45.89,45.89,18.529,10.428,26.004,27.361,9.44,31.412,45.89,16.93,16.16,33.09,33.09,45.24,2.63,5.39,13.44,18.4,4,0.41,0.91,1.05,45.89,21.54,20.04,41.59,41.59,46.9,3.81,12.12,26.7,27.97,13.97,0.64,0.79,1.07,3,151,34,,,,,,,,,,,97479,151
51.299,50.937,50.937,51.299,51.299,12.37,35.499,37.743,38.929,34.881,0,51.299,14.74,22.11,36.85,36.85,49.39,6.95,6.33,17.49,17.87,0,0.47,0.76,0.67,51.299,16.84,19.4,36.24,36.24,46.18,10.63,9.96,27.13,28.66,0,0.75,0.94,0.87,4,151,49,,,,,,,,,,,97479,151
45.743,45.387,45.387,45.743,45.743,1.104,44.298,35.202,44.639,35.472,26.788,45.743,14.8,12.42,27.22,27.22,53.4,10.61,5.67,16.68,17.27,2.91,0.61,1.4,1.19,45.743,16.68,20.31,36.99,36.99,57.37,13.45,10.53,24.57,26.26,9.57,0.66,0.98,0.82,5,151,63,,,,,,,,,,,97479,151
49.165,48.785,48.785,49.165,49.165,23.678,24.504,22.495,25.487,21.822,33.147,49.165,18,15.27,33.27,33.27,34.94,4.46,4.41,17.08,17.52,10.31,0.51,1.14,1.18,49.165,22.32,18.94,41.25,41.25,40.95,7.88,5.93,26.6,28.32,36.29,0.64,1.21,1.18,6,151,77,,,,,,,,,,,97479,151
59.394,58.883,58.883,59.394,59.394,1.264,54.659,57.629,58.13,55.138,10.631,59.394,14.76,10.34,25.1,25.1,27.01,8.77,9.85,19.03,19.04,0.8,0.76,1.17,1.43,59.394,16.08,13.29,29.37,29.37,28.51,11.58,14.37,26.52,26.87,2.87,0.9,1,1.21,7,151,91,,,,,,,,,,,97479,151
82.325,76.714,81.631,82.325,77.365,56.754,23.565,24.159,25.571,22.514,0,82.325,10.03,11.4,21.43,21.96,25.41,1.09,1.93,9.71,10.2,0,0.45,0.83,0.95,82.325,15.29,14.41,29.7,30.32,33.52,1.76,2.86,14.88,15.91,0,0.5,0.99,1.16,1,476,0,,,,,,,,,,,87780,476
55.917,55.362,55.362,55.917,55.917,25.582,30.03,23.364,30.335,23.615,0,55.917,15.49,10.91,26.4,26.4,27.64,,,,,0,0.39,1.47,1.42,55.917,18.41,15.01,33.42,33.42,39.27,7.15,4.07,20.68,21.99,0,0.62,1.34,1.23,2,476,28,,,,,,,,,,,87780,476
92.034,91.32,91.32,92.034,92.034,42.93,47.494,46.801,49.104,45.999,0,92.034,8.93,10.97,19.9,19.9,25.65,,,,,0,0.53,0.85,0.81,92.034,12.79,15.28,28.07,28.07,36.75,5.24,4.5,18.26,18.65,0,0.65,0.91,0.84,3,476,42,,,,,,,,,,,87780,476
47.28,46.866,45.15,47.28,45.552,27.202,17.992,19.18,20.078,17.407,0,47.28,13.57,10.77,24.34,24.94,28.16,2.08,2.5,10.77,11.51,0,0.44,1.18,1.23,47.28,16.79,17.55,34.33,35.16,38.44,2.93,4.12,16.6,17.69,0,0.48,0.91,0.93,4,476,56,,,,,,,,,,,87780,476
42.593,42.291,42.291,42.593,42.593,33.152,5.973,7.306,9.441,3.888,25.905,42.593,13.02,12.67,25.69,25.69,27.25,0.94,1.14,9.4,10.76,2.45,0.37,1.01,1.03,42.593,18.83,17.68,36.51,36.51,38.34,1.24,1.83,13.88,17.4,5.18,0.38,1.03,1.06,5,476,71,,,,,,,,,,,87780,476
117.568,106.501,115.774,117.568,106.289,0,114.657,116.731,117.568,115.518,0,117.568,6.06,9.44,15.5,15.91,0,5.93,7.66,13.59,13.69,0,0.88,0.7,0.72,117.568,7.2,9.69,16.89,17.19,0,11.17,12.33,23.5,23.66,0,1.39,0.83,0.86,6,476,84,,,,,,,,,,,87780,476
57.027,55.055,51.854,57.027,50.404,8.352,45.306,44.728,48.675,41.889,2.706,57.027,7.56,7.2,14.76,15.5,21.46,4.95,4.77,11.38,11.66,0.18,0.77,1.04,0.97,57.027,9.39,9.64,19.03,20.39,33.39,8.52,7.16,18.37,19.22,0.22,0.97,1.07,0.91,7,476,98,,,,,,,,,,,87780,476
50.661,50.432,50.432,50.661,50.661,35.38,15.177,13.197,15.281,13.282,22.951,50.661,18.16,15.53,33.69,33.69,36.55,2.85,2.12,16.49,16.96,1.47,0.49,1.19,1.17,50.661,21.31,18,39.32,39.32,40.31,4.15,3.88,26.64,28.48,3.75,0.68,1.16,1.18,1,425,0,,,,,,,,,,,87782,425
55.408,55.173,55.173,55.408,55.408,22.559,31.689,31.877,32.849,31.056,8.673,55.408,14.92,17.68,32.6,32.6,41.49,,,,,0.52,0.63,0.85,0.84,55.408,20.54,23.17,43.71,43.71,54.91,8.68,9.24,30.66,31.37,1.54,0.7,0.9,0.89,2,425,28,,,,,,,,,,,87782,425
53.201,52.874,52.874,53.201,53.201,18.094,34.922,32,35.107,32.212,0,53.201,14.85,14.37,29.21,29.21,36.92,,,,,0,0.6,1,1.03,53.201,18.45,15.97,34.42,34.42,41.21,9.34,8.32,26.78,27.51,0,0.78,1.14,1.16,3,425,42,,,,,,,,,,,87782,425
55.472,55.101,55.101,55.472,55.472,36.526,17.981,17.915,18.946,17.282,26.149,55.472,20.2,17.24,37.44,37.44,40.37,3.24,3.67,20.22,20.92,2.26,0.54,1.12,1.17,55.472,20.88,17.09,37.97,37.97,39.04,4.7,4.16,25.93,26.89,5.41,0.68,1.2,1.22,4,425,56,,,,,,,,,,,87782,425
47.791,47.504,47.504,47.791,47.791,5.615,41.168,40.376,42.176,39.777,0,47.791,20.06,15.71,35.77,35.77,49.19,8.2,8.06,18.42,18.71,0,0.51,1.19,1.28,47.791,18.44,20.32,38.76,38.76,49.58,12.89,10.54,26.55,27.17,0,0.68,1.02,0.91,5,425,71,,,,,,,,,,,87782,425
63.278,63.008,63.008,63.278,63.278,28.541,26.262,31.704,34.737,23.46,0,63.278,21.98,19.42,41.41,41.41,45.07,3.93,5.09,16.43,18.83,0,0.4,1.06,1.13,63.278,22.73,22.54,45.27,45.27,46.64,5.9,7.9,25.15,29.16,0,0.56,0.94,1.01,6,425,84,,,,,,,,,,,87782,425
91.013,90.346,90.346,91.013,91.013,20.783,67.9,66.918,70.23,65.814,0,91.013,19.08,16.04,35.11,35.11,45.41,7.02,5.75,16.55,16.86,0,0.47,1.2,1.19,91.013,20.56,19.36,39.92,39.92,50.26,11.6,9.56,27.42,28.17,0,0.69,1.11,1.06,7,425,98,,,,,,,,,,,87782,425
50.658,50.56,50.56,50.658,50.658,32.643,16.236,16.485,18.015,14.799,7.566,50.658,17.64,18.02,35.66,35.66,38.71,,,,,0.57,0.42,0.97,0.98,50.658,18.71,21.96,40.67,40.67,44.81,3.57,4.16,22.14,24.29,1.95,0.54,0.85,0.85,1,414,0,,,,,,,,,,,97502,414
45.776,45.601,45.601,45.776,45.776,25.071,19.582,18.735,20.705,17.697,0,45.776,18.86,17.54,36.4,36.4,41.56,,,,,0,0.49,1.08,1.08,45.776,19.28,19.53,38.82,38.82,42.83,5.84,5.72,25.57,27.66,0,0.66,0.99,0.99,2,414,35,,,,,,,,,,,97502,414
91.019,90.597,90.597,91.019,91.019,7.503,79.652,68.359,83.516,65.245,8.796,91.019,13.26,15.69,28.94,28.94,40.31,7.84,6.13,15.22,16.97,0.28,0.53,0.97,0.85,91.019,13.91,17.52,31.43,31.43,42.95,11.05,9.19,22.06,24.39,0.51,0.7,0.93,0.79,3,414,49,,,,,,,,,,,97502,414
46.786,46.501,46.501,46.786,46.786,29.232,10.028,15.044,17.554,7.649,14.243,46.786,22.26,23.68,45.94,45.94,49.9,2.19,4.91,18.89,21.81,1.52,0.41,0.86,0.94,46.786,23.26,28.55,51.81,51.81,52.8,2.38,6.21,22.87,28.66,5.33,0.44,0.74,0.81,4,414,64,,,,,,,,,,,97502,414
60.076,59.662,59.662,60.076,60.076,19.629,37.981,32.173,40.447,30.127,23.8,60.076,18.17,17.21,35.38,35.38,43.16,6.18,4.57,15.98,17.73,2.54,0.45,1.12,1.06,60.076,20.68,24.83,45.51,45.51,50.63,10.47,7.89,27.29,29.35,7.74,0.6,0.95,0.83,5,414,78,,,,,,,,,,,97502,414
52.979,52.695,52.695,52.979,52.979,24.978,17.321,27.838,28.001,17.394,15.82,52.979,15.2,23.21,38.41,38.41,45.26,2.14,5.51,14.49,15.86,2.02,0.38,0.6,0.66,52.979,15.77,23.66,39.44,39.44,39.85,3.41,7.38,20.42,23.18,5.67,0.52,0.62,0.67,6,414,92,,,,,,,,,,,97502,414
42.624,42.391,42.391,42.624,42.624,32.4,10.163,10.163,10.224,10.224,5.577,42.624,16.61,17.66,34.26,34.26,36.9,1.74,1.69,14.29,14.29,1.26,0.42,0.95,0.94,42.624,19.69,20.56,40.25,40.25,42.14,2.98,2.62,23.3,23.3,2,0.58,0.98,0.96,1,477,0,,,,,,,,,,,87782,477
42.624,42.391,42.391,42.624,42.624,32.4,10.163,10.163,10.224,10.224,5.577,42.624,16.61,17.66,34.26,34.26,36.9,1.74,1.69,14.29,14.29,1.26,0.42,0.95,0.94,42.624,19.69,20.56,40.25,40.25,42.14,2.98,2.62,23.3,23.3,2,0.58,0.98,0.96,1,477,0,,,,,,,,,,,97485,477
42.624,42.391,42.391,42.624,42.624,32.4,10.163,10.163,10.224,10.224,5.577,42.624,16.61,17.66,34.26,34.26,36.9,1.74,1.69,14.29,14.29,1.26,0.42,0.95,0.94,42.624,19.69,20.56,40.25,40.25,42.14,2.98,2.62,23.3,23.3,2,0.58,0.98,0.96,2,477,0,,,,,,,,,,,87782,477
42.624,42.391,42.391,42.624,42.624,32.4,10.163,10.163,10.224,10.224,5.577,42.624,16.61,17.66,34.26,34.26,36.9,1.74,1.69,14.29,14.29,1.26,0.42,0.95,0.94,42.624,19.69,20.56,40.25,40.25,42.14,2.98,2.62,23.3,23.3,2,0.58,0.98,0.96,2,477,0,,,,,,,,,,,97485,477
55.746,55.416,55.416,55.746,55.746,23.954,28.486,30.496,31.792,27.615,14.091,55.746,15.18,16.83,32.01,32.01,39.16,,,,,0.72,0.41,0.88,0.9,55.746,18.03,20.79,38.83,38.83,46.57,6.29,6.46,22.23,23.92,2.34,0.57,0.89,0.87,3,477,28,,,,,,,,,,,87782,477
55.746,55.416,55.416,55.746,55.746,23.954,28.486,30.496,31.792,27.615,14.091,55.746,15.18,16.83,32.01,32.01,39.16,,,,,0.72,0.41,0.88,0.9,55.746,18.03,20.79,38.83,38.83,46.57,6.29,6.46,22.23,23.92,2.34,0.57,0.89,0.87,3,477,28,,,,,,,,,,,97485,477
77.234,76.878,76.878,77.234,77.234,28.9,48.13,8.205,48.334,8.272,30.337,77.234,15.72,17.53,33.25,33.25,39.41,,,,,3.26,0.43,1.34,0.9,77.234,15.97,18.23,34.2,34.2,36.43,11.01,0.84,18.94,27.8,11.17,0.55,1.41,0.88,4,477,42,,,,,,,,,,,87782,477
77.234,76.878,76.878,77.234,77.234,28.9,48.13,8.205,48.334,8.272,30.337,77.234,15.72,17.53,33.25,33.25,39.41,,,,,3.26,0.43,1.34,0.9,77.234,15.97,18.23,34.2,34.2,36.43,11.01,0.84,18.94,27.8,11.17,0.55,1.41,0.88,4,477,42,,,,,,,,,,,97485,477
46.337,46.182,46.182,46.337,46.337,0,45.162,13.933,46.337,12.96,45.162,46.337,14.7,13.43,28.13,28.13,0,13.96,2.46,16.42,19.67,8.45,0.58,1.8,1.1,46.337,19.39,16.88,36.26,36.26,0,18.31,3.67,21.98,28.02,27.81,0.61,1.83,1.15,5,477,56,,,,,,,,,,,87782,477
46.337,46.182,46.182,46.337,46.337,0,45.162,13.933,46.337,12.96,45.162,46.337,14.7,13.43,28.13,28.13,0,13.96,2.46,16.42,19.67,8.45,0.58,1.8,1.1,46.337,19.39,16.88,36.26,36.26,0,18.31,3.67,21.98,28.02,27.81,0.61,1.83,1.15,5,477,56,,,,,,,,,,,97485,477
69.553,69.151,69.151,69.553,69.553,5.154,64.036,63.178,64.399,63.535,0,69.553,14.86,15.9,30.76,30.76,44.06,9.16,8.91,19.52,19.67,0,0.63,0.97,0.93,69.553,16.57,16.79,33.36,33.36,47.52,12.79,11.38,26.11,26.24,0,0.78,1.04,0.99,6,477,71,,,,,,,,,,,87782,477
69.553,69.151,69.151,69.553,69.553,5.154,64.036,63.178,64.399,63.535,0,69.553,14.86,15.9,30.76,30.76,44.06,9.16,8.91,19.52,19.67,0,0.63,0.97,0.93,69.553,16.57,16.79,33.36,33.36,47.52,12.79,11.38,26.11,26.24,0,0.78,1.04,0.99,6,477,71,,,,,,,,,,,97485,477
89.507,88.789,88.789,89.507,89.507,22.321,60.247,61.922,67.186,56.033,0,89.507,17.19,23.98,41.16,41.16,48.6,6.25,6.62,17.14,17.68,0,0.42,0.77,0.72,89.507,17.9,22.83,40.72,40.72,47.06,8.84,9.31,24.17,25.22,0,0.59,0.83,0.78,7,477,84,,,,,,,,,,,87782,477
89.507,88.789,88.789,89.507,89.507,22.321,60.247,61.922,67.186,56.033,0,89.507,17.19,23.98,41.16,41.16,48.6,6.25,6.62,17.14,17.68,0,0.42,0.77,0.72,89.507,17.9,22.83,40.72,40.72,47.06,8.84,9.31,24.17,25.22,0,0.59,0.83,0.78,7,477,84,,,,,,,,,,,97485,477
49.681,49.397,49.397,49.681,49.681,7.488,40.388,41.258,42.193,39.889,0,49.681,12.95,18.08,31.03,31.03,40.49,6.68,7.77,17.02,17.23,0,0.55,0.76,0.72,49.681,15.03,19.97,35,35,44.57,9,11.67,24.35,24.77,0,0.7,0.76,0.75,8,477,98,,,,,,,,,,,87782,477
49.681,49.397,49.397,49.681,49.681,7.488,40.388,41.258,42.193,39.889,0,49.681,12.95,18.08,31.03,31.03,40.49,6.68,7.77,17.02,17.23,0,0.55,0.76,0.72,49.681,15.03,19.97,35,35,44.57,9,11.67,24.35,24.77,0,0.7,0.76,0.75,8,477,98,,,,,,,,,,,97485,477
49.878,49.599,49.599,49.878,49.878,36.657,12.113,12.377,13.221,11.365,8.33,49.878,14.89,17.76,32.65,32.65,35.77,,,,,0.29,0.5,0.82,0.84,49.878,17.57,19.96,37.54,37.54,39.53,2.63,3.17,21.93,23.26,0.75,0.58,0.87,0.88,1,470,0,,,,,,,,,,,97502,470
37.082,34.654,30.892,37.082,28.826,1.04,30.894,31.818,36.042,27.068,9.282,37.082,11.6,7.77,19.37,22.28,34.67,,,,,1.68,0.97,1.21,1.3,37.082,16.54,14.13,30.66,34.83,42.15,13.07,10.93,24.68,27.88,3.2,0.8,1.18,1.04,2,470,35,,,,,,,,,,,97502,470
53.776,53.342,53.342,53.776,53.776,0,53.342,50.516,53.776,50.943,25.835,53.776,14.22,12.75,26.97,26.97,0,8.27,6.7,14.97,15.23,2.12,0.56,1.16,1.12,53.776,19.01,15.26,34.27,34.27,0,12.35,11.46,23.81,24.4,6.09,0.69,1.17,1.25,3,470,49,,,,,,,,,,,97502,470
49.956,49.562,49.562,49.956,49.956,12.096,35.9,35.735,37.86,34.307,0,49.956,16.16,17.21,33.37,33.37,42.2,5.72,6.55,16.18,16.5,0,0.48,0.92,0.94,49.956,18,18.46,36.46,36.46,37.74,8.54,9.7,24.05,24.61,0,0.66,0.94,0.97,4,470,64,,,,,,,,,,,97502,470
54.167,53.759,53.759,54.167,54.167,26.54,27.408,7.524,27.627,7.613,31.037,54.167,15.35,17.43,32.78,32.78,39.61,3.59,0.77,8.53,11.38,3.88,0.26,1.04,0.88,54.167,18.73,20.13,38.86,38.86,44.53,6.15,1.95,15.87,24.38,12.96,0.41,1.13,0.93,5,470,78,,,,,,,,,,,97502,470
49.153,48.894,48.894,49.153,49.153,24.467,23.821,23.062,24.686,22.383,21.925,49.153,16.38,18.64,35.02,35.02,41.46,4.31,3.85,16.27,16.67,1.99,0.46,0.92,0.88,49.153,18.37,20.83,39.21,39.21,44.65,5.85,6.48,24.57,25.43,4.93,0.63,0.89,0.88,6,470,92,,,,,,,,,,,97502,470
62.655,62.243,62.243,62.655,62.655,54.736,7.854,5.61,7.919,5.647,14.388,62.655,,,,,,,,,,,,,,62.655,17.61,17.02,34.63,34.63,35.85,1.08,0.97,16.18,19.78,1.74,0.47,1.04,1.03,1,479,0,1.77,2.09,30.51,37.96,,,,,,,87780,479
51.41,51.046,51.046,51.41,51.41,41.601,8.176,9.079,9.809,7.472,6.105,51.41,,,,,,,,,,,,,,51.41,18.2,16.9,35.1,35.1,36.92,1.07,1.75,14.79,16.94,0.89,0.42,1.03,1.08,2,479,28,1.57,2.83,23.08,25.89,,,,,,,87780,479
46.096,45.697,45.697,46.096,46.096,46.096,0,0,0,0,0,46.096,,,,,,,,,,,,,,46.096,22.32,20.94,43.26,43.26,43.26,0,0,0,0,0,0,1.07,1.07,3,479,42,0,0,0,0,,,,,,,87780,479
51.426,51.116,51.098,51.426,51.426,29.215,14.211,20.027,22.211,12.178,18.93,51.426,,,,,,,,,,,,,,51.426,18.46,19.07,37.53,37.53,41.43,3.19,4.67,18.18,21.75,4.32,0.48,0.91,0.97,4,479,56,4.46,7.76,28.3,30.95,,,,,,,87780,479
53.103,52.643,52.643,53.103,53.103,38.272,7.862,12.505,14.831,5.631,0,53.103,,,,,,,,,,,,,,53.103,20.11,18.92,39.04,39.04,43.33,1.34,2.76,14.66,20.66,0,0.38,0.99,1.06,5,479,71,1.47,3.22,16.79,18.51,,,,,,,87780,479
45.424,45.045,45.045,45.424,45.424,1.87,40.958,42.41,43.554,40.546,0,45.424,11.67,10.64,22.31,22.31,28.41,4.38,5.92,10.74,11.04,0,0.48,0.97,1.1,45.424,13.6,13.08,26.68,26.68,34.62,7.81,10.23,18.81,19.35,0,0.71,0.92,1.04,6,479,84,,,,,,,,,,,87780,479
52.098,51.706,51.706,52.098,52.098,33.666,16.553,18.269,18.432,16.704,9.305,52.098,,,,,,,,,,,,,,52.098,14.55,19.4,33.95,33.95,34.84,2.98,3.94,19.58,20.47,2.52,0.58,0.75,0.75,7,479,98,5.46,5.51,31.05,32.81,,,,,,,87780,479
56.575,56.31,56.31,56.575,56.575,27.297,27.084,23.674,29.278,21.757,1.584,56.575,17.13,13.57,30.7,30.7,35.71,,,,,0.1,0.5,1.23,1.26,56.575,20.27,15.45,35.72,35.72,39.52,7.31,5.9,24.53,28.8,0.38,0.69,1.29,1.31,1,498,0,,,,,,,,,,,97502,498
45.907,43.781,45.827,45.907,43.844,8.673,32.981,36.033,37.234,31.94,13.586,45.907,12.08,17.68,29.76,30.16,42.17,,,,,1.39,0.61,0.71,0.72,45.907,14.3,18.86,33.16,33.76,46.12,9.39,11.09,25.26,27.22,4.19,0.76,0.79,0.8,2,498,35,,,,,,,,,,,97502,498
49.215,48.821,48.821,49.215,49.215,2.768,43.18,46.051,46.447,43.551,27.406,49.215,12.06,19.45,31.51,31.51,40.52,8.54,9.02,18.61,19.2,2.21,0.59,0.72,0.62,49.215,15.51,17.83,33.34,33.34,47.12,11.96,13.38,26.85,27.26,6.78,0.81,0.88,0.87,3,498,49,,,,,,,,,,,97502,498
48.33,48.114,48.114,48.33,48.33,28.762,11.724,14.536,19.568,6.749,5.309,48.33,20.05,17.32,37.37,37.37,40.06,2.29,2.72,12.14,13.7,0.67,0.32,1.11,1.16,48.33,21.97,17.89,39.86,39.86,40.81,3.25,4.59,18.98,25.27,2.49,0.48,1.12,1.23,4,498,64,,,,,,,,,,,97502,498
31.159,22.784,31.001,31.159,22.902,11.266,19.78,18.691,19.893,18.789,14.797,31.159,9.54,12.78,22.32,24.78,32.49,5.91,5.22,17.41,17.17,1.81,0.78,0.86,1.11,31.159,11.41,15.35,26.76,29.48,33.77,7.41,8.44,24.8,24.95,5.64,0.93,0.79,1.12,5,498,78,,,,,,,,,,,97502,498
39.473,39.256,39.256,39.473,39.473,24.849,11.571,13.825,14.624,10.944,14.243,39.473,,,,,,,,,,,,,,39.473,20.88,17.47,38.35,38.35,44.44,3.99,4.49,22.88,26.57,5.87,0.6,1.13,1.2,6,498,92,6.69,5.56,33.04,37.64,,,,,,,97502,498
40.72,40.603,40.603,40.72,40.72,26.958,12.792,13.064,13.762,12.082,7.974,40.72,16.14,18.64,34.77,34.77,40.75,2.53,3.42,17.63,17.67,2.11,0.51,0.85,0.87,40.72,19.64,20.53,40.17,40.17,45.11,4.21,4.58,26.03,27.54,1.44,0.65,0.95,0.96,1,180,0,,,,,,,,,,,117068,180
49.347,49.027,49.027,49.347,49.347,31.474,16.888,16.756,17.873,15.889,0,49.347,15.66,20,35.66,35.66,41.28,3.32,3.53,18.92,20.05,0,0.53,0.81,0.78,49.347,17.47,20.43,37.9,37.9,41.43,4.92,4.75,26.72,27.89,0,0.71,0.89,0.86,2,180,22,,,,,,,,,,,117068,180
67.061,66.665,66.665,67.061,67.061,21.713,41.164,43.001,45.348,39.316,0,67.061,19.62,16.27,35.89,35.89,46.9,,,,,0,0.53,1.21,1.21,67.061,20.13,16.67,36.8,36.8,42.57,8.78,8.32,25.29,26.55,0,0.69,1.16,1.21,3,180,36,,,,,,,,,,,117068,180
